Date,Open,High,Low,Close,Adj Close,Volume
3/10/2012,1446.05,1454.3,1441.99,1450.99,1450.99,3531640000
2/10/2012,1444.99,1451.52,1439.01,1445.75,1445.75,3321790000
1/10/2012,1440.9,1457.14,1440.9,1444.49,1444.49,3505080000
28-09-2012,1447.13,1447.13,1435.6,1440.67,1440.67,3509230000
27-09-2012,1433.36,1450.2,1433.36,1447.15,1447.15,3150330000
26-09-2012,1441.6,1441.6,1430.53,1433.32,1433.32,3565380000
25-09-2012,1456.94,1463.24,1441.59,1441.59,1441.59,3739900000
24-09-2012,1459.76,1460.72,1452.06,1456.89,1456.89,3008920000
21-09-2012,1460.34,1467.07,1459.51,1460.15,1460.15,4833870000
20-09-2012,1461.05,1461.23,1449.98,1460.26,1460.26,3382520000
19-09-2012,1459.5,1465.15,1457.88,1461.05,1461.05,3451360000
18-09-2012,1461.19,1461.47,1456.13,1459.32,1459.32,3377390000
17-09-2012,1465.42,1465.63,1457.55,1461.19,1461.19,3482430000
14-09-2012,1460.07,1474.51,1460.07,1465.77,1465.77,5041990000
13-09-2012,1436.56,1463.76,1435.34,1459.99,1459.99,4606550000
12/9/2012,1433.56,1439.15,1432.99,1436.56,1436.56,3641200000
11/9/2012,1429.13,1437.76,1429.13,1433.56,1433.56,3509630000
10/9/2012,1437.92,1438.74,1428.98,1429.08,1429.08,3223670000
7/9/2012,1432.12,1437.92,1431.45,1437.92,1437.92,3717620000
6/9/2012,1403.74,1432.12,1403.74,1432.12,1432.12,3952870000
5/9/2012,1404.94,1408.81,1401.25,1403.44,1403.44,3389110000
4/9/2012,1406.54,1409.31,1396.56,1404.94,1404.94,3200310000
31-08-2012,1400.07,1413.09,1398.96,1406.58,1406.58,2938250000
30-08-2012,1410.08,1410.08,1397.01,1399.48,1399.48,2530280000
29-08-2012,1409.32,1413.95,1406.57,1410.49,1410.49,2571220000
28-08-2012,1410.44,1413.63,1405.59,1409.3,1409.3,2629090000
27-08-2012,1411.13,1416.17,1409.11,1410.44,1410.44,2472500000
24-08-2012,1401.99,1413.46,1398.04,1411.13,1411.13,2598790000
23-08-2012,1413.49,1413.49,1400.5,1402.08,1402.08,3008240000
22-08-2012,1413.09,1416.12,1406.78,1413.49,1413.49,3062690000
21-08-2012,1418.13,1426.68,1410.86,1413.17,1413.17,3282950000
20-08-2012,1417.85,1418.13,1412.12,1418.13,1418.13,2766320000
17-08-2012,1415.84,1418.71,1414.67,1418.16,1418.16,2922990000
16-08-2012,1405.57,1417.44,1404.15,1415.51,1415.51,3114100000
15-08-2012,1403.89,1407.73,1401.83,1405.53,1405.53,2655750000
14-08-2012,1404.36,1410.03,1400.6,1403.93,1403.93,2930900000
13-08-2012,1405.87,1405.87,1397.32,1404.11,1404.11,2499990000
10/8/2012,1402.58,1405.98,1395.62,1405.87,1405.87,2767980000
9/8/2012,1402.26,1405.95,1398.8,1402.8,1402.8,3119610000
8/8/2012,1401.23,1404.14,1396.13,1402.22,1402.22,3221790000
7/8/2012,1394.46,1407.14,1394.46,1401.35,1401.35,3682490000
6/8/2012,1391.04,1399.63,1391.04,1394.23,1394.23,3122050000
3/8/2012,1365.45,1394.16,1365.45,1390.99,1390.99,3751170000
2/8/2012,1375.13,1375.13,1354.65,1365,1365,4193740000
1/8/2012,1379.32,1385.03,1373.35,1375.32,1375.32,4440920000
31-07-2012,1385.27,1387.16,1379.17,1379.32,1379.32,3821570000
30-07-2012,1385.94,1391.74,1381.37,1385.3,1385.3,3212060000
27-07-2012,1360.05,1389.19,1360.05,1385.97,1385.97,4399010000
26-07-2012,1338.17,1363.13,1338.17,1360.02,1360.02,4429300000
25-07-2012,1338.35,1343.98,1331.5,1337.89,1337.89,3719170000
24-07-2012,1350.52,1351.53,1329.24,1338.31,1338.31,3891290000
23-07-2012,1362.34,1362.34,1337.56,1350.52,1350.52,3717180000
20-07-2012,1376.51,1376.51,1362.19,1362.66,1362.66,3925020000
19-07-2012,1373.01,1380.39,1371.21,1376.51,1376.51,4043360000
18-07-2012,1363.58,1375.26,1358.96,1372.78,1372.78,3642630000
17-07-2012,1353.68,1365.36,1345.07,1363.67,1363.67,3566680000
16-07-2012,1356.5,1357.26,1348.51,1353.64,1353.64,2862720000
13-07-2012,1334.81,1357.7,1334.81,1356.78,1356.78,3212930000
12/7/2012,1341.29,1341.29,1325.41,1334.76,1334.76,3654440000
11/7/2012,1341.4,1345,1333.25,1341.45,1341.45,3426290000
10/7/2012,1352.96,1361.54,1336.27,1341.47,1341.47,3470600000
9/7/2012,1354.66,1354.87,1346.65,1352.46,1352.46,2904860000
6/7/2012,1367.09,1367.09,1348.03,1354.68,1354.68,2745140000
5/7/2012,1373.72,1373.85,1363.02,1367.58,1367.58,3041520000
3/7/2012,1365.75,1374.81,1363.53,1374.02,1374.02,2116390000
2/7/2012,1362.33,1366.35,1355.7,1365.51,1365.51,3301650000
29-06-2012,1330.12,1362.17,1330.12,1362.16,1362.16,4590480000
28-06-2012,1331.52,1331.52,1313.29,1329.04,1329.04,3969370000
27-06-2012,1320.71,1334.4,1320.71,1331.85,1331.85,3286910000
26-06-2012,1314.09,1324.24,1310.3,1319.99,1319.99,3412940000
25-06-2012,1334.9,1334.9,1309.27,1313.72,1313.72,3501820000
22-06-2012,1325.92,1337.82,1325.92,1335.02,1335.02,5271490000
21-06-2012,1355.43,1358.27,1324.41,1325.51,1325.51,4094470000
20-06-2012,1358.04,1361.57,1346.45,1355.69,1355.69,3695700000
19-06-2012,1344.83,1363.46,1344.83,1357.98,1357.98,3815350000
18-06-2012,1342.42,1348.22,1334.46,1344.78,1344.78,3259430000
15-06-2012,1329.19,1343.32,1329.19,1342.84,1342.84,4401570000
14-06-2012,1314.88,1333.68,1314.14,1329.1,1329.1,3687720000
13-06-2012,1324.02,1327.28,1310.51,1314.88,1314.88,3506510000
12/6/2012,1309.4,1324.31,1306.62,1324.18,1324.18,3442920000
11/6/2012,1325.72,1335.52,1307.73,1308.93,1308.93,3537530000
8/6/2012,1314.99,1325.81,1307.77,1325.66,1325.66,3497190000
7/6/2012,1316.15,1329.05,1312.68,1314.99,1314.99,4258140000
6/6/2012,1285.61,1315.13,1285.61,1315.13,1315.13,4268360000
5/6/2012,1277.82,1287.62,1274.16,1285.5,1285.5,3403230000
4/6/2012,1278.29,1282.55,1266.74,1278.18,1278.18,4011960000
1/6/2012,1309.87,1309.87,1277.25,1278.04,1278.04,4669350000
31-05-2012,1313.09,1319.74,1298.9,1310.33,1310.33,4557620000
30-05-2012,1331.25,1331.25,1310.76,1313.32,1313.32,3534290000
29-05-2012,1318.9,1334.93,1318.9,1332.42,1332.42,3441640000
25-05-2012,1320.81,1324.2,1314.23,1317.82,1317.82,2872660000
24-05-2012,1318.72,1324.14,1310.5,1320.68,1320.68,3937670000
23-05-2012,1316.02,1320.71,1296.53,1318.86,1318.86,4108330000
22-05-2012,1316.09,1328.49,1310.04,1316.63,1316.63,4123680000
21-05-2012,1295.73,1316.39,1295.73,1315.99,1315.99,3786750000
18-05-2012,1305.05,1312.24,1291.98,1295.22,1295.22,4512470000
17-05-2012,1324.82,1326.36,1304.86,1304.86,1304.86,4664280000
16-05-2012,1330.78,1341.78,1324.79,1324.8,1324.8,4280420000
15-05-2012,1338.36,1344.94,1328.41,1330.66,1330.66,4114040000
14-05-2012,1351.93,1351.93,1336.61,1338.35,1338.35,3688120000
11/5/2012,1358.11,1365.66,1348.89,1353.39,1353.39,3869070000
10/5/2012,1354.58,1365.88,1354.58,1357.99,1357.99,3727990000
9/5/2012,1363.2,1363.73,1343.13,1354.58,1354.58,4288540000
8/5/2012,1369.16,1369.16,1347.75,1363.72,1363.72,4261670000
7/5/2012,1368.79,1373.91,1363.94,1369.58,1369.58,3559390000
4/5/2012,1391.51,1391.51,1367.96,1369.1,1369.1,3975140000
3/5/2012,1402.32,1403.07,1388.71,1391.57,1391.57,4004910000
2/5/2012,1405.5,1405.5,1393.92,1402.31,1402.31,3803860000
1/5/2012,1397.86,1415.32,1395.73,1405.82,1405.82,3807950000
30-04-2012,1403.26,1403.26,1394,1397.91,1397.91,3574010000
27-04-2012,1400.19,1406.64,1397.31,1403.36,1403.36,3645830000
26-04-2012,1390.64,1402.09,1387.28,1399.98,1399.98,4034700000
25-04-2012,1372.11,1391.37,1372.11,1390.69,1390.69,3998430000
24-04-2012,1366.97,1375.57,1366.82,1371.97,1371.97,3617100000
23-04-2012,1378.53,1378.53,1358.79,1366.94,1366.94,3654860000
20-04-2012,1376.96,1387.4,1376.96,1378.53,1378.53,3833320000
19-04-2012,1385.08,1390.46,1370.3,1376.92,1376.92,4180020000
